wpid,database,plung,pspleen,pliver,pheart,pkidney,ptesti,pthyroid
WP4792,wikipathways,-0.1685036854630649,-0.38367691865941883,-0.15511518322100473,NA,-0.11908289383080795,NA,-0.2724859110432832
WP4224,wikipathways,-0.0937187707831468,-0.32366798645335737,-0.13423065273742066,NA,-0.127763050017451,NA,-0.17469428861220118
WP411,wikipathways,0.2012017687058297,0.04735442500825672,0.2763582668930147,NA,0.12374978892371939,NA,0.302289708639058
WP4723,wikipathways,0.13960962575348151,NA,NA,NA,0.1476364497752056,NA,0.5155941874863297
WP4970,wikipathways,NA,NA,NA,NA,NA,NA,0.3093206860376204
MINERVA Coagulation pathway,DiseaseMap,-0.23116985011744695,0.06317981429210066,-0.04864756029024462,-0.21675498709713,-0.16631680672613086,-0.2879414272577599,-0.40466070638278034
WP107,wikipathways,0.20814275242024777,NA,0.30423414902248985,0.06472440157742075,0.22343903895549894,NA,0.27994047335398037
WP2942,wikipathways,NA,NA,0.3555856488764003,NA,NA,NA,0.17158054504879758
WP4718,wikipathways,0.12160033647872205,NA,NA,NA,0.10480503662132795,-0.3042229490421532,0.2896255034442243
WP4873,wikipathways,NA,-0.44263769353618576,-0.22890600524030313,NA,-0.1426288045863872,-0.2877858657111223,NA
WP4788,wikipathways,0.22327680040434272,NA,0.18577728747125744,NA,0.2333344734941627,NA,0.3648685068227395
WP111,wikipathways,0.1550828132527465,0.40621091898252326,0.2253235443994959,0.12627315114810908,0.1503415873992832,NA,0.30081034445340904
WP4240,wikipathways,NA,NA,0.13841309615611774,NA,NA,NA,0.387996857473171
WP4784,wikipathways,0.17384009160332559,0.27671073365381976,0.30118077032379603,NA,0.21318690644080762,NA,0.3060129441978306
WP623,wikipathways,0.11854048214091452,0.367419095482818,0.264371544954908,0.13387932725709903,0.13590266650455948,NA,0.31330539657620077
WP1422,wikipathways,0.11059093377146294,0.1563109406407181,NA,NA,0.09632381025035819,NA,0.38242691941985246
WP477,wikipathways,0.3878415027817383,0.06982258027974367,0.35950042412215205,-0.069712152070856,0.2617338738797699,0.08970240370846469,0.18575681344391293
WP5027,wikipathways,0.3182427873387383,NA,0.510928515695787,0.15148582752614095,0.32839610325119956,0.1554006156173374,0.42440846331598214
WP3413,wikipathways,NA,0.35239939396037423,0.17990288850157718,NA,NA,NA,0.23925978061216863
WP4918,wikipathways,NA,-0.40680341041278834,0.16699696447714515,NA,NA,NA,NA
WP438,wikipathways,NA,NA,0.5584315734077724,NA,0.10938577638351325,NA,0.3247874230979633
WP430,wikipathways,-0.09888489793513928,NA,NA,NA,-0.09272612205729977,-0.19042707495988281,-0.40543391654456606
WP3601,wikipathways,-0.2655832259891583,-0.3374261733955222,-0.15745574011568758,-0.21905624914830665,-0.3013158652266595,NA,-0.6058259757339429
WP5110,wikipathways,-0.15707354889162653,NA,NA,-0.1611035219366029,-0.12724598255447325,-0.25689074824632246,-0.34539510908736365
WP5109,wikipathways,-0.15832510358539048,-0.21407047518196867,NA,-0.23608873207443018,-0.15498511844056667,NA,-0.4809361326777967
WP4522,wikipathways,-0.12694356562012332,NA,NA,-0.17631803856841016,-0.09427138811779671,NA,-0.45097566987861726
WP2817,wikipathways,0.11268612615362468,NA,NA,NA,0.09445410910268329,NA,0.30720637444559395
WP5103,wikipathways,-0.10193044035701841,NA,NA,NA,NA,NA,0.3389624453453108
WP5044,wikipathways,NA,-0.3117073560890002,-0.2026410033525919,NA,-0.14479391460355875,NA,NA
MINERVA Nsp4 and Nsp6 protein interactions,DiseaseMap,0.1757303661914541,0.13353311991817754,0.14312308497027895,NA,0.09034421283826316,0.08307191675772056,0.3222648703954458
WP1424,wikipathways,NA,NA,NA,NA,NA,NA,0.30759313290206436
WP4940,wikipathways,NA,NA,NA,NA,NA,NA,0.31215947157635365
WP4725,wikipathways,NA,0.1367165303222119,NA,NA,0.09849502405828453,NA,0.35179311673706026
WP4726,wikipathways,NA,0.1367165303222119,NA,NA,0.09849502405828453,NA,0.35179311673706026
WP229,wikipathways,NA,NA,NA,NA,NA,NA,0.3238961431206458
WP3963,wikipathways,NA,-0.4121710647560908,-0.19139751004942324,NA,NA,-0.6374216844854156,-0.3480850350989955
WP197,wikipathways,0.13062475009581598,NA,NA,NA,0.08218104366010175,-0.5799253431930381,0.23644752231119112
WP4190,wikipathways,NA,-0.1670802334711099,NA,NA,NA,-0.3615102261999617,NA
WP4804,wikipathways,0.22394502652627396,NA,NA,NA,0.20813830952248122,-0.413456366254891,0.6056335489754701
WP545,wikipathways,-0.24415215740138327,0.15002490158000542,-0.10652148088374323,-0.17036051906949598,-0.13723682324205425,-0.3263627443328891,-0.12833679405673204
WP4153,wikipathways,0.13245886032588242,-0.2707939449524072,0.16583998635190664,NA,-0.4079904044373899,NA,0.3095417525724345
WP4815,wikipathways,0.1316223040076748,-0.19504999985149843,0.21617970437099593,NA,-0.3487794480088018,NA,0.4286909404552347
WP4921,wikipathways,0.21552003544877052,0.32706416862434207,0.2227504272954743,0.2060908943284686,0.15299013128845787,NA,0.2999341592397854
WP4479,wikipathways,NA,NA,0.22206825937578878,NA,NA,NA,0.37005805555270344
WP4480,wikipathways,NA,NA,NA,NA,0.13860017126871296,NA,0.43690411222982267
WP4562,wikipathways,NA,-0.21370244958123458,0.17788981928175124,NA,NA,NA,0.4060360801154768
WP206,wikipathways,NA,NA,-0.27956975089009384,NA,NA,NA,0.31835042976387307
WP4920,wikipathways,NA,0.47750678160367366,0.32081206502038206,NA,0.13828099354588033,NA,0.3212653558571817
WP496,wikipathways,NA,NA,NA,NA,NA,-0.31282093009670775,NA
WP5089,wikipathways,-0.48805938375780816,-0.3210261780835066,-0.3414663013843832,-0.36474944996476877,-0.43957939089561093,NA,-0.6883771728477851
WP4969,wikipathways,-0.18644073035251743,-0.13366026473517423,NA,-0.11233496857952913,-0.09274011104486143,NA,-0.3293650858781276
WP3934,wikipathways,NA,0.21588346876209943,NA,NA,NA,NA,0.3304704476642003
WP368,wikipathways,0.19558740267617722,0.17808004203182126,0.12551910435204727,NA,0.0897106352053141,NA,0.3270586532316818
WP4324,wikipathways,0.06034523195218187,0.3337877409780395,0.25388613585480674,0.14299093642514535,0.11890802887388219,NA,0.3548077252259423
WP78,wikipathways,0.19034266412447712,0.2908077780686206,0.21371495385090322,NA,0.10441038938696628,NA,0.3108305505392123
MINERVA Virus replication cycle,DiseaseMap,NA,NA,NA,NA,NA,NA,0.4637832278685334
WP4846,wikipathways,NA,NA,NA,NA,NA,NA,0.34637636879005845
WP2881,wikipathways,NA,0.1647077296948586,NA,NA,0.1053689252370755,NA,0.4920721323017064
WP4927,wikipathways,NA,NA,NA,NA,NA,NA,-0.47286637858213265
WP272,wikipathways,-0.1096002359866312,NA,NA,NA,-0.10886824287480398,-0.2873301050822058,-0.40918027212055336
WP4146,wikipathways,NA,NA,NA,NA,0.24373794172133761,NA,0.36444626813105335
WP4506,wikipathways,NA,NA,-0.3458747196000842,NA,NA,NA,NA
WP690,wikipathways,NA,NA,-0.31533212914161113,NA,NA,NA,NA
WP134,wikipathways,-0.1269461591062645,-0.4357937764121387,NA,NA,-0.11779293216335514,NA,-0.3581174238155248
WP4317,wikipathways,0.22270987816424753,NA,0.2416858496108668,NA,NA,NA,0.36153069798600496
WP1941,wikipathways,0.21554275592494643,0.23966777508238274,NA,NA,NA,NA,0.4511083989494529
WP5065,wikipathways,NA,NA,NA,NA,NA,NA,0.45784201142813996
MINERVA Orf10 Cul2 pathway,DiseaseMap,-0.05126903503659266,-0.3104075789344897,-0.10491613246026184,-0.2719048972114887,-0.06940682035492143,-0.1338852914002236,-0.20607242805071072
WP4860,wikipathways,NA,-0.3066729501128828,NA,NA,NA,NA,NA
